127.0.0.1 - - [28/Feb/2017:09:52:26 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Feb/2017:09:52:28 +0530] "GET /Servlet_-_Sessions_-_application_context/ HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [28/Feb/2017:09:52:40 +0530] "GET /Servlet_-_Sessions_-_application_context/Index HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [28/Feb/2017:09:52:40 +0530] "GET /WebContent/images/msd.jpg HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [28/Feb/2017:09:52:40 +0530] "GET /WebContent/images/jadeja.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [28/Feb/2017:09:52:40 +0530] "GET /WebContent/images/kohli.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Feb/2017:09:52:40 +0530] "GET /WebContent/images/rohit.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Feb/2017:09:53:14 +0530] "GET /Servlet_-_Sessions_-_application_context/Index HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [28/Feb/2017:09:53:14 +0530] "GET /WebContent/images/msd.jpg HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [28/Feb/2017:09:53:14 +0530] "GET /WebContent/images/jadeja.jpg HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [28/Feb/2017:09:53:14 +0530] "GET /WebContent/images/kohli.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Feb/2017:09:53:14 +0530] "GET /WebContent/images/rohit.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Feb/2017:09:53:36 +0530] "GET /Servlet_-_Sessions_-_application_context/Index HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [28/Feb/2017:09:53:40 +0530] "GET /Servlet_-_Sessions_-_application_context/Index HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [28/Feb/2017:09:53:40 +0530] "GET /Servlet_-_Sessions_-_application_context/WebContent/images/msd.jpg HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [28/Feb/2017:09:53:40 +0530] "GET /Servlet_-_Sessions_-_application_context/WebContent/images/jadeja.jpg HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [28/Feb/2017:09:53:41 +0530] "GET /Servlet_-_Sessions_-_application_context/WebContent/images/kohli.jpg HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [28/Feb/2017:09:53:41 +0530] "GET /Servlet_-_Sessions_-_application_context/WebContent/images/rohit.jpg HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [28/Feb/2017:09:54:17 +0530] "GET /Servlet_-_Sessions_-_application_context/WebContent/images/msd.jpg HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [28/Feb/2017:10:03:29 +0530] "GET /Servlet_-_Sessions_-_application_context/Index HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [28/Feb/2017:10:03:29 +0530] "GET /Servlet_-_Sessions_-_application_context/WebContent/images/msd.jpg HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [28/Feb/2017:10:03:29 +0530] "GET /Servlet_-_Sessions_-_application_context/WebContent/images/jadeja.jpg HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [28/Feb/2017:10:03:29 +0530] "GET /Servlet_-_Sessions_-_application_context/WebContent/images/kohli.jpg HTTP/1.1" 404 1087
